IdPilota;Imie;Nazwisko;Jezyk
1;Tomasz;Biela;polski
2;Gustaw;Baron;francuski
3;Nikodem;Lipinski;hiszpański
4;Klaudia;Nowosielski;rosyjski
5;Paulina;Lipinski;angielski
6;Radomir;Tomczak;francuski
7;Artur;Leszczynski;włoski
8;Igor;Jablonski;włoski
9;Blanka;Glowacki;angielski
10;Sebastian;Glowacki;rosyjski
11;Damian;Bednarek;włoski
12;Aleksandra;Wroblewski;angielski
13;Marta;Gajda;niemiecki
14;Laura;Wojcik;arabski
15;Stefania;Wojcik;chiński
16;Szczepan;Brzezinski;rosyjski
17;Anna;Kowalski;włoski
18;Maurycy;Jaworska;włoski
19;Nikola;Mazur;rosyjski
20;Teresa;Kisielewski;włoski
21;Hubert;Wlodarczyk;hiszpański
22;Sebastian;Domanski;niemiecki
23;Feliks;Kaminski;hiszpański
24;Iwona;Kurek;hiszpański
25;Hubert;Szewczyk;chiński
26;Oskar;Ostrowski;francuski
27;Dominik;Tomczak;chiński
28;Beata;Kaminski;włoski
29;Milena;Kowal;polski
30;Natalia;Baran;niemiecki
31;Przemyslaw;Gajewski;włoski
32;Urszula;Adamski;polski
33;Ewa;Zielinski;arabski
34;Zofia;Nowakowski;włoski
35;Bruno;Nowak;niemiecki
36;Amelia;Szczepanski;chiński
37;Borys;Piotrowski;arabski
38;Jacek;Zielinski;polski
39;Kamil;Mika;niemiecki
40;Maurycy;Stasiak;rosyjski
41;Arkadiusz;Jaworski;niemiecki
42;Maurycy;Czerwinski;angielski
43;Artur;Michalski;angielski
44;Jakub;Nowacki;niemiecki
45;Weronika;Wroblewski;włoski
46;Paulina;Mazurek;włoski
47;Mariusz;Jankowski;chiński
48;Szymek;Kowalski;włoski
49;Anna;Czerwinski;arabski
50;Wiktor;Ostrowski;angielski
51;Adam;Kaczmarek;włoski
52;Norbert;Sadowski;hiszpański
53;Cezary;Kaczmarek;francuski
