IdPilota;Imie;Nazwisko;Jezyk
1;Tomasz;Biela;polski
2;Gustaw;Baron;francuski
3;Nikodem;Lipinski;hiszpański
4;Klaudia;Nowosielski;rosyjski
5;Paulina;Lipinski;angielski
6;Radomir;Tomczak;francuski
7;Artur;Leszczyński;włoski
8;Igor;Jabłoński;włoski
9;Blanka;Głowacki;angielski
10;Sebastian;Głowacki;rosyjski
11;Damian;Bednarek;włoski
12;Aleksandra;Wróblewski;angielski
13;Marta;Gajda;niemiecki
14;Laura;Wójcik;arabski
15;Stefania;Wójcik;chiński
16;Szczepan;Brzeziński;rosyjski
17;Anna;Kowalski;włoski
18;Maurycy;Jaworska;włoski
19;Nikola;Mazur;rosyjski
20;Teresa;Kisielewski;włoski
21;Hubert;Włodarczyk;hiszpański
22;Sebastian;Domański;niemiecki
23;Feliks;Kamiński;hiszpański
24;Iwona;Kurek;hiszpański
25;Hubert;Szewczyk;chiński
26;Oskar;Ostrowski;francuski
27;Dominik;Tomczak;chiński
28;Beata;Kamiński;włoski
29;Milena;Kowal;polski
30;Natalia;Baran;niemiecki
31;Przemysław;Gajewski;włoski
32;Urszula;Adamski;polski
33;Ewa;Zieliński;arabski
34;Zofia;Nowakowski;włoski
35;Bruno;Nowak;niemiecki
36;Amelia;Szczepański;chiński
37;Borys;Piotrowski;arabski
38;Jacek;Zieliński;polski
39;Kamil;Mika;niemiecki
40;Maurycy;Stasiak;rosyjski
41;Arkadiusz;Jaworski;niemiecki
42;Maurycy;Czerwiński;angielski
43;Artur;Michalski;angielski
44;Jakub;Nowacki;niemiecki
45;Weronika;Wróblewski;włoski
46;Paulina;Mazurek;włoski
47;Mariusz;Jankowski;chiński
48;Szymek;Kowalski;włoski
49;Anna;Czerwiński;arabski
50;Wiktor;Ostrowski;angielski
51;Sylwia;Bednarek;rosyjski
52;Elżbieta;Cichy;arabski
53;Tomasz;Ostrowski;hiszpański
54;Witold;Ostrowski;polski
55;Helena;Górski;włoski
56;Jan;Majewski;włoski
57;Cezary;Kisielewski;chiński
58;Arnold;Michalak;rosyjski
59;Dawid;Niemczyk;rosyjski
60;Laura;Piotrowski;angielski
61;Mieczysław;Wilk;hiszpański
62;Kamil;Kalinowska;hiszpański
63;Fabian;Nowicki;chiński
64;Arnold;Baran;niemiecki
65;Bartosz;Czajkowski;włoski
66;Mariusz;Kubicki;polski
67;Sylwia;Borkowski;rosyjski
68;Barbara;Wasilewski;chiński
69;Mariusz;Piórkowski;angielski
70;Kamil;Szczepaniak;angielski
71;Natalia;Lipinski;polski
