IdPilota;Imie;Nazwisko;Jezyk
1;Tomasz;Biela;polski
2;Gustaw;Baron;francuski
3;Nikodem;Lipinski;hiszpanski
4;Klaudia;Nowosielski;rosyjski
5;Paulina;Lipinski;angielski
6;Radomir;Tomczak;francuski
7;Artur;Leszczynski;wloski
8;Igor;Jablonski;wloski
9;Blanka;Glowacki;angielski
10;Sebastian;Glowacki;rosyjski
11;Damian;Bednarek;wloski
12;Aleksandra;Wroblewski;angielski
13;Marta;Gajda;niemiecki
14;Laura;Wojcik;arabski
15;Stefania;Wojcik;chinski
16;Szczepan;Brzezinski;rosyjski
17;Anna;Kowalski;wloski
18;Maurycy;Jaworska;wloski
19;Nikola;Mazur;rosyjski
20;Teresa;Kisielewski;wloski
21;Hubert;Wlodarczyk;hiszpanski
22;Sebastian;Domanski;niemiecki
23;Feliks;Kaminski;hiszpanski
24;Iwona;Kurek;hiszpanski
25;Hubert;Szewczyk;chinski
26;Oskar;Ostrowski;francuski
27;Dominik;Tomczak;chinski
28;Beata;Kaminski;wloski
29;Milena;Kowal;polski
30;Natalia;Baran;niemiecki
31;Przemyslaw;Gajewski;wloski
32;Urszula;Adamski;polski
33;Ewa;Zielinski;arabski
34;Zofia;Nowakowski;wloski
35;Bruno;Nowak;niemiecki
36;Amelia;Szczepanski;chinski
37;Borys;Piotrowski;arabski
38;Jacek;Zielinski;polski
39;Kamil;Mika;niemiecki
40;Maurycy;Stasiak;rosyjski
41;Arkadiusz;Jaworski;niemiecki
42;Maurycy;Czerwinski;angielski
43;Artur;Michalski;angielski
44;Jakub;Nowacki;niemiecki
45;Weronika;Wroblewski;wloski
46;Paulina;Mazurek;wloski
47;Mariusz;Jankowski;chinski
48;Szymek;Kowalski;wloski
49;Anna;Czerwinski;arabski
50;Wiktor;Ostrowski;angielski
51;Sylwia;Bednarek;rosyjski
52;Elzbieta;Cichy;arabski
53;Tomasz;Ostrowski;hiszpanski
54;Witold;Ostrowski;polski
55;Helena;Gorski;wloski
56;Jan;Majewski;wloski
57;Cezary;Kisielewski;chinski
58;Arnold;Michalak;rosyjski
59;Dawid;Niemczyk;rosyjski
60;Laura;Piotrowski;angielski
61;Mieczyslaw;Wilk;hiszpanski
62;Kamil;Kalinowska;hiszpanski
63;Fabian;Nowicki;chinski
64;Arnold;Baran;niemiecki
65;Bartosz;Czajkowski;wloski
66;Mariusz;Kubicki;polski
67;Sylwia;Borkowski;rosyjski
68;Barbara;Wasilewski;chinski
69;Mariusz;Piorkowski;angielski
70;Kamil;Szczepaniak;angielski
71;Natalia;Lipinski;polski
